Obs,x,y,Area,Exp.Treat,Polygon,Plot,Date,Start.time,End.time,Observers,Canopy.Cov,UnderS.Cov,Lilies,Orchids,Daisies.T,Daisies.C,Stackhousia,INDI.RICH,MAX.ABUND,Dom.Lily,Dom.Orchid,Dom.DaisyT,Dom.DaisyC,Other.Lily,Other.Orchid,Other.DaisyT,Other.DaisyC,Oth.Lily.1,Oth.Lily.2,Oth.Lily.3,Oth.Orch.1,Oth.Orch.2,Oth.Orch.3,Arth.spp,Bulb.spp,Wurm.dio,Burch.umb,Microt.spp,Thely.spp,Diur.spp,Hymen.spp,Micros.spp,Cras.spp,Lept.squ,Chry.api,Stac.mon,SPP.RICH,Notes,PCT,ZONE_,PCT_ZONE,Vegetation type,C3_C4,PCT_ZONE_STM,UMC_ID,VEG_COMM,TREESP1,TREESP2,TREESP3,SHRUBSP1,SHRUBSP2,SHRUBSP3,GROUNDSP1,GROUNDSP2,GROUNDSP3,CANOPYCOVER,UNDERCOVER,STRUCTURE,FORMATION,CLASS,x2,y2
95,149.1743994,-35.17523812,OFF,High grazing,TH-HM-02,TN_3_C,2021-10-21,16:24,,LP_EC,,,1,0,2,0,0,2,2,Wurmb,,Cras,,1,,0,,Arthro,,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,3,,16,2,16.2,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.1.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,Eucalyptus rubida,,,,Themeda triandra,Bothriochloa macra,Poa sieb,9.62382317,0.94269651,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1743994,-35.17523812
96,149.1641766,-35.18170672,OFF,High grazing,TH-HM-05,TN_7_C,2021-10-22,9:45,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13,16.13,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.4.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Phal aqua,0.45132023,0.0139031,Grassland,-,-,149.1641766,-35.18170672
97,149.1649703,-35.18095836,OFF,High grazing,TH-HM-05,TN_12_C,2021-10-22,10:39,,MN_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,22.10486031,0.47338119,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1649703,-35.18095836
98,149.1683086,-35.18043977,OFF,High grazing,TH-HM-04,TN_6_C,2021-10-22,11:33,,MN_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,22.10486031,0.47338119,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1683086,-35.18043977
99,149.1686302,-35.18610853,OFF,High grazing,TH-HM-07,TN_10_C,2021-10-22,9:37,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,7.5591526,0.09708577,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1686302,-35.18610853
100,149.1697518,-35.18344933,OFF,High grazing,TH-HM-06,TN_9_C,2021-10-22,10:33,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,2,16.2,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.1.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,7.5591526,0.09708577,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1697518,-35.18344933
101,149.1670906,-35.18239695,OFF,High grazing,TH-HM-06,TN_8_C,2021-10-22,11:12,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,7.5591526,0.09708577,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1670906,-35.18239695
102,149.1697058,-35.19187039,OFF,High grazing,TH-HM-08,TE_1_C,2021-10-22,13:44,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,2,16.2,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.1.2,p14,Red Stringybark – Scribbly Gum – Red-anthered Wallaby Grass tall grass-shrub dry sclerophyll open forest on loamy ridges_p14,Eucalyptus rossii,Eucalyptus macrorhyncha,Eucalyptus bridgesiana,,,,Themeda triandra,Poa sieberiana,Aust scab,10.86689949,0.39012802,Open Forest,DRY SCLEROPHYLL FORESTS,Southern Tableland Dry Sclerophyll Forests,149.1697058,-35.19187039
103,149.1684209,-35.19438208,OFF,High grazing,TH-HM-08,TE_2_C,2021-10-22,15:06,,LP_EC,,,1,0,0,0,0,1,1,Bulb,,,,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,16,2,16.2,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.1.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Phal aqua,11.74749374,0.12781879,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1684209,-35.19438208
104,149.1696726,-35.20316191,OFF,High grazing,TH-HM-09,TE_11_C,2021-10-28,8:12,,MN_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,3,16.3,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C4,16.1.3,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,Eucalyptus mannifera,,,,Themeda triandra,Bothriochloa macra,Poa sieb,16.47509384,0.90187144,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1696726,-35.20316191
105,149.1764554,-35.19608021,OFF,High grazing,TH-HM-99,TE_13_C,2021-10-28,9:57,,MN_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Phal aqua,7.39318609,0.0745891,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1764554,-35.19608021
106,149.1721366,-35.1976383,OFF,High grazing,TH-HM-09,TE_3_C,2021-10-28,11:09,,MN_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13,16.13,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.4.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Phal aqua,0.45132023,0.0139031,Grassland,-,-,149.1721366,-35.1976383
107,149.1736065,-35.20754313,OFF,High grazing,GO-HM-18,KB_1_C,2021-10-28,8:27,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,8,16.8,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.2.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Hype perf,0.32983735,0.0487318,Grassland,-,-,149.1736065,-35.20754313
108,149.1734883,-35.20888963,OFF,High grazing,GO-HM-18,KB_2_NW,2021-10-28,9:15,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,8,16.8,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.2.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Hype perf,0.32983735,0.0487318,Grassland,-,-,149.1734883,-35.20888963
109,149.1761651,-35.21024144,OFF,High grazing,GO-HM-17,KB_3_C,2021-10-28,10:07,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,2,16.2,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Native_C3,16.1.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,Eucalyptus mannifera,,,,Themeda triandra,Bothriochloa macra,Poa sieb,19.34095764,0.20214421,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.1761651,-35.21024144
110,149.1773707,-35.21160763,OFF,High grazing,GO-HM-17,KB_5_C,2021-10-28,10:50,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13,16.13,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.4.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Hype perf,0.32983735,0.0487318,Grassland,-,-,149.1773707,-35.21160763
111,149.1714776,-35.19853456,OFF,High grazing,TH-HM-09,TE_10_C,2021-10-28,11:49,,LP_EC,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13,16.13,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.4.4,NG,Native grassland_NG,,,,,,,Austrostipa bigeniculata,Bothriochloa macra,Phal aqua,0.45132023,0.0139031,Grassland,-,-,149.1714776,-35.19853456
112,149.169101,-35.179931,OFF,High grazing,TH-HM-04,TN_13_C,2021-10-22,12:00,,EC,,,0,0,1,0,0,1,1,,,Cras,,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,16,9,16.9,Eucalyptus melliodora – E. blakelyi Tableland Grassy Woodland,Exotic_C3,16.3.2,u19,Blakely’s Red Gum – Yellow Box tall grassy woodland_u19,Eucalyptus melliodora,Eucalyptus blakelyi,,,,,Themeda triandra,Bothriochloa macra,Poa sieb,22.10486031,0.47338119,Woodland,GRASSY WOODLANDS,Southern Tableland Grassy Woodlands,149.169101,-35.179931
